Height,Weight,HandSize,ArmLength,FortyTime,TwentyTime,TenTime,Bench,Vertical,BroadJump,Shuttle,ThreeCone,SixtyShuttle,LastYearRecAvg,CareerRecAvg,LastYearReturnAvg,CareerReturnAvg,DraftRound,College,DraftYear,CareerRec,LastYearRec
72.0,201.0,9.75,33.5,4.5,2.63,1.57,11.0,40.0,128.0,,,,18.3,17.0,31.9,27.1,1,Arizona State,2020,1666,1192
75.0,207.0,9.0,31.88,4.62,2.72,1.62,11.0,36.0,123.0,4.5,7.35,,17.8,15.7,0,0,0,Arkansas State,2020,2764,1653
77.0,220.0,8.88,33.38,,,,,,,,,,14.4,14.8,0,0,0,Georgia,2020,1157,476
74.0,204.0,9.38,32.38,4.55,2.64,1.58,,38.0,,,,,21.2,17.9,0,0,0,Tennessee,2020,1646,635
73.0,207.0,8.75,32.13,4.73,2.77,1.67,23.0,38.5,124.0,4.33,7.2,,15.3,16.1,0,0,5,Wisconsin,2020,1496,901
76.0,229.0,9.88,32.5,4.42,2.57,1.56,19.0,40.5,126.0,,,,15.7,14.4,0,0,2,Notre Dame,2020,2159,1037
74.0,205.0,9.13,32.88,4.46,,,13.0,39.5,126.0,,,,14.0,16.1,24.8,24.2,7,Florida,2020,1271,351
75.0,190.0,9.0,31.75,4.45,2.59,1.55,,36.0,,4.62,7.28,,0,0,0,0,5,Rhode Island,2020,0,0
75.0,212.0,9.25,32.25,4.54,2.66,1.55,14.0,35.0,124.0,4.59,7.08,,17.2,16.1,0,0,4,Central Florida,2020,2447,1241
73.0,200.0,9.5,31.38,4.54,2.66,1.58,,35.5,,,,,11.4,12.1,0,0,0,Texas A&M,2020,1201,616
71.0,202.0,9.5,30.63,4.39,2.58,1.56,,35.5,,4.2,7.13,,13.1,14.0,20.5,21.2,3,Texas,2020,2468,1386
75.0,215.0,9.5,32.25,,,,,,,,,,11.5,13.0,0,0,3,South Carolina,2020,3045,816
70.0,184.0,9.0,29.0,4.57,,,7.0,40.0,,,,,11.1,11.8,0,0,0,Notre Dame,2020,1251,456
71.0,188.0,8.88,29.75,4.59,2.69,1.61,,34.0,,,,,11.9,12.9,0,0,0,Washington,2020,2051,702
76.0,220.0,9.63,31.75,4.6,2.72,1.62,22.0,36.0,127.0,4.55,7.33,,17.7,16.2,0,0,4,Liberty (VA),2020,2433,1396
76.0,200.0,9.13,32.75,4.47,,,,34.0,,4.46,7.31,,12.9,16.9,0,0,0,Mississippi State,2020,827,387
69.0,176.0,9.38,30.75,,,,15.0,,,,,,16.1,16.9,21.4,23.5,2,Penn State,2020,1658,904
76.0,215.0,9.25,34.13,,,,,,,,,,19.8,18.1,,3.0,2,Clemson,2020,2448,1167
74.0,172.0,9.75,31.5,4.43,2.67,1.54,,38.5,,4.21,7.07,,18.5,17.6,24.6,23.3,5,Boise State,2020,1447,943
72.0,195.0,9.25,29.13,4.6,2.68,1.59,17.0,32.5,114.0,,,,11.2,11.6,0,0,0,Ohio State,2020,2332,636
76.0,209.0,9.88,33.13,4.61,2.66,1.58,9.0,36.5,124.0,4.12,7.01,,13.6,13.2,0,0,6,Oregon State,2020,2322,1171
73.0,191.0,9.75,32.38,4.5,2.66,1.58,,36.0,,,,,15.5,14.9,0,0,0,Syracuse,2020,1282,1023
74.0,192.0,9.13,33.0,4.43,2.61,1.57,,37.5,,,,,13.9,14.6,0,0,1,Louisiana State,2020,2415,1540
74.0,197.0,9.13,32.75,,,,,,,,,,13.4,12.3,0,0,2,Florida,2020,2159,657
75.0,208.0,9.0,31.63,4.72,2.74,1.65,,29.0,,,,,16.4,14.7,0,0,7,Tennessee,2020,2153,969
73.0,192.0,9.5,32.13,4.45,2.59,1.56,,35.0,,4.53,,,15.1,17.2,0,0,1,Alabama,2020,2742,1163
78.0,220.0,9.0,31.75,,,,17.0,,,,,,14.7,14.0,0,0,5,Texas,2020,2624,559
76.0,231.0,10.5,34.25,4.58,2.68,1.62,14.0,33.0,124.0,4.37,6.94,,15.6,14.3,,4.0,0,Oregon,2020,1590,467
74.0,205.0,9.0,30.88,,,,,,,,,,0,0,0,0,5,Minnesota,2020,0,0
71.0,224.0,9.5,30.63,4.68,,,13.0,32.5,119.0,4.21,7.18,,0,0,0,0,0,Notre Dame,2020,0,0
74.0,189.0,9.25,32.25,4.5,2.62,1.58,11.0,34.5,124.0,,,,0,0,0,0,0,Oklahoma,2020,0,0
72.0,201.0,9.38,32.88,4.57,2.68,1.61,16.0,32.0,127.0,,,,10.9,11.9,0,0,0,Vanderbilt,2020,2356,511
73.0,215.0,10.0,33.63,4.59,2.65,1.59,,31.5,,4.42,,,13.4,13.3,0,0,0,Ohio State,2020,1050,361
75.0,206.0,9.38,33.88,4.38,2.56,1.54,16.0,38.5,131.0,4.43,6.66,,15.5,15.7,,18.0,2,Baylor,2020,2925,1020
76.0,312.0,9.63,30.88,4.38,,,9.0,37.0,124.0,,,,14.9,16.7,0,0,5,Tulane (LA),2020,2572,713
72.0,206.0,9.13,31.25,4.48,,,18.0,37.5,123.0,4.35,7.0,,10.9,14.0,0,0,0,Miami (FL),2020,2037,547
75.0,208.0,9.13,31.13,4.57,2.7,1.63,12.0,26.5,112.0,4.23,6.94,,0,0,0,0,0,Rhode Island,2020,0,0
76.0,228.0,10.25,32.75,4.48,,,15.0,36.0,132.0,4.38,7.28,,13.1,12.7,0,0,6,Washington State,2020,1976,762
74.0,208.0,10.13,33.5,4.48,2.63,1.59,,44.5,,,,,12.9,12.9,0,0,6,Michigan,2020,1327,438
76.0,220.0,9.25,32.5,4.52,,,13.0,36.5,121.0,4.14,6.96,,0,0,0,0,0,Southern California,2020,0,0
71.0,193.0,9.63,29.75,,,,20.0,34.5,,4.4,7.27,,11.0,13.1,0,0,6,Southern Methodist (TX),2020,3949,1225
71.0,195.0,9.5,31.38,4.47,2.68,1.63,17.0,42.0,138.0,4.46,7.31,,14.2,15.2,0,0,1,Texas Christian,2020,2248,611
70.0,220.0,8.75,29.63,4.64,2.71,1.61,24.0,40.0,125.0,4.19,7.03,,0,0,0,0,0,Illinois State,2020,0,0
76.0,204.0,9.13,33.13,4.51,,,17.0,35.5,124.0,4.48,7.13,,11.7,11.6,0,0,0,Texas A&M,2020,786,351
72.0,190.0,10.13,30.5,4.27,2.52,1.54,,42.0,,,,,0,0,0,0,1,Alabama,2020,0,0
74.0,220.0,9.0,31.88,4.58,2.67,1.61,17.0,,,,,,0,0,0,0,0,Colorado,2020,0,0
74.0,216.0,9.63,32.0,,,,15.0,35.0,117.0,,,,0,0,0,0,0,Michigan State,2020,0,0
72.0,199.0,9.0,30.63,4.46,,,16.0,36.5,124.0,4.26,7.05,,13.6,14.6,0,0,6,Florida,2020,996,517
70.0,174.0,8.38,30.38,4.45,2.6,1.56,,36.5,,,,,0,0,0,0,0,Miami (FL),2020,0,0
76.0,199.0,9.63,34.13,4.6,,,9.0,35.0,128.0,,,,0,0,0,0,0,Ohio State,2020,0,0
74.0,190.0,9.0,32.88,4.35,2.55,1.52,,36.5,,4.36,7.28,,18.4,15.1,0,0,6,Southern Mississippi,2020,2404,1178
75.0,215.0,10.0,32.5,4.66,,,,35.5,,4.52,7.19,,0,0,0,0,0,Michigan State,2020,0,0
74.0,225.0,9.5,33.25,,,,,,,,,,16.8,16.4,0,0,2,Stanford,2019,2219,1059
71.75,194.0,,,,,,,,,,,,8.8,13.2,0,0,0,Texas Christian,2019,860,149
71.38,195.0,,,,,,,,,,,,14.6,14.2,0,0,0,Wake Forest,2019,1162,541
75.75,220.0,9.88,33.5,4.42,2.57,1.54,12.0,43.5,140.0,4.07,6.77,,14.8,15.7,0,0,3,Notre Dame,2019,1206,872
74.88,211.0,9.75,33.63,,,,12.0,32.0,117.0,4.25,,,14.1,14.5,0,0,0,Marshall (WV),2019,2056,1002
72.5,226.0,9.75,32.88,4.49,2.65,1.56,19.0,36.5,120.0,,,,15.5,15.8,0,0,0,Mississippi,2019,2984,1320
69.38,166.0,9.0,30.5,,,,,,,,,,17.6,18.3,0,0,1,Oklahoma,2019,2413,1318
68.25,185.0,,,,,,,,,,,,10.2,12.7,0,0,0,Arizona,2019,1773,655
75.0,217.0,10.13,33.0,,,,11.0,36.0,115.0,4.22,,,0,0,0,0,0,Northern Arizona,2019,0,0
77.63,227.0,10.75,35.25,4.48,2.62,1.59,18.0,36.0,128.0,,,,22.0,19.5,0.0,0.0,4,Iowa State,2019,2149,1318
71.88,205.0,9.5,32.25,4.31,2.51,1.52,11.0,40.0,135.0,4.03,,,11.8,12.4,,30.4,2,Ohio State,2019,1768,1063
71.63,196.0,,,,,,,,,,,,0,0,0,0,0,Marist,2019,0,0
76.13,214.0,10.88,33.88,4.5,2.65,1.6,,34.5,,,,,17.8,16.4,0,0,0,Syracuse,2019,1048,906
75.5,211.0,10.25,32.75,,,,21.0,,,,,,0,0,0,0,0,Michigan State,2019,0,0
69.88,189.0,9.25,30.88,,,,12.0,35.0,124.0,4.23,7.09,,7.9,8.7,0,0,0,Auburn,2019,1555,546
75.25,210.0,,,,,,,,,,,,0,0,0,0,0,Central Arkansas,2019,0,0
70.38,201.0,9.63,30.25,4.41,2.6,1.57,16.0,37.5,120.0,4.43,,,15.9,17.1,18.5,18.5,0,Ohio State,2019,1146,669
67.13,173.0,9.25,29.25,,,,,,,,,,12.1,12.7,0,0,0,Wake Forest,2019,1800,1078
